StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,memory,attempt,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21,Q8_22,Q8_23,Q8_24,Q8_25,Q8_26,Q8_27,Q8_28,Q8_29,Q8_30,Q8_31,Q8_32,seconds
2024-02-06 20:05:57,2024-02-06 20:05:57,Survey Test,,100,0,True,2024-02-06 20:05:58,R_cCvo0CmM6R9C2gK,,,,,,,test,,37,4,,,,530,460,,381,655,965,596,292,,660,232,,,,,,871,,744,,,,,412,593,985,,,,,7
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_0BChHm6SwxRaa9w,,,,,,,test,,20,7,,,,,,,,,965,,292,,660,232,,,486,306,,,835,,,,,,412,593,,,,,,8
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_1AeALXE3bjEoKsS,,,,,,,test,,28,3,,,563,530,460,854,,655,965,,,,660,232,171,,486,306,,,,,483,891,236,,,,985,,,,952,6
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_3OY5HeYMJEf3kNg,,,,,,,test,,20,6,,,,,,854,,,,,,640,,,,,,,,,,,483,,,,,,985,,,,,10
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_bE4FAaMa8Ma7qmO,,,,,,,test,,47,5,,984,563,530,460,,381,,,,,640,,,,,,,,,835,,,891,,,,,,,,,952,6
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:59,R_d0S1sMItdiERTh4,,,,,,,test,,27,3,,984,563,530,460,854,381,655,965,596,,640,,,171,,486,306,144,871,835,,483,,236,602,,593,985,467,481,265,,7
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_39kZLBAFEgXVdbg,,,,,,,test,,38,6,,,563,530,460,854,381,655,965,596,292,640,660,232,171,581,486,306,,871,835,744,483,891,,602,412,593,985,,481,265,952,7
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_d0a6YAf1uW44h94,,,,,,,test,,23,7,,,563,530,460,854,,,,596,,640,660,232,171,581,486,306,144,871,835,744,,,236,,412,593,985,467,481,265,,7
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_cx9Et4p3xm6pw10,,,,,,,test,,22,2,,984,,,460,854,,,,,292,640,660,232,171,581,,306,144,,,,,891,236,602,412,,985,467,481,265,952,5
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_0x3xeN4SjztLMbQ,,,,,,,test,,24,7,,984,563,530,460,854,381,,965,596,292,640,660,232,171,581,486,306,,871,835,744,483,,236,602,412,593,985,467,481,265,952,4
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_8D19W6nHG2wJA1M,,,,,,,test,,36,4,,984,563,530,460,854,381,655,965,596,292,640,660,232,,581,486,306,144,871,835,744,483,891,236,602,412,593,985,467,481,265,952,5
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_06DM9neCWN3L64K,,,,,,,test,,33,4,,,563,,,854,,,965,596,,,,,171,581,,,,,,,483,,,,,593,985,,481,,952,10
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_2udkEJ6S2eh70rQ,,,,,,,test,,25,1,,984,,530,,,,,,596,292,,,232,171,581,486,,,871,,744,,891,236,,,593,985,,481,265,,9
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_0HEtnxjRMiUNYpw,,,,,,,test,,24,1,,984,563,530,460,,381,655,965,596,292,640,660,232,171,581,,306,144,871,835,744,483,891,236,602,412,593,985,467,481,265,952,5
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_80mOPNBfHTUiyTI,,,,,,,test,,47,6,,984,563,530,460,854,,,965,596,,640,660,232,171,581,486,306,144,871,,744,483,,236,602,,,985,467,481,265,952,9
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_3Eo4qOobZolqu2y,,,,,,,test,,35,3,,,,530,460,854,,655,,596,292,,660,232,171,581,486,,144,,,744,,,,,,593,,,,265,,9
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:01,R_0dKyAyyWslAWqWi,,,,,,,test,,39,5,,984,563,530,460,854,381,655,965,596,292,640,660,232,171,581,486,306,144,871,835,744,483,891,236,602,412,593,,467,481,265,952,8
2024-02-06 20:06:01,2024-02-06 20:06:01,Survey Test,,100,0,True,2024-02-06 20:06:01,R_0O4AGpsLfR6HGFo,,,,,,,test,,28,6,,984,563,,,,,655,965,596,292,,660,,,,486,306,144,871,,,483,,236,,,593,,467,481,,,4
2024-02-06 20:06:01,2024-02-06 20:06:01,Survey Test,,100,0,True,2024-02-06 20:06:01,R_cwOMUIjNAECGs9E,,,,,,,test,,32,2,,,,,,854,381,655,,,,640,,232,171,,486,,,,835,744,483,,236,,412,,,,,,,4
2024-02-06 23:21:49,2024-02-06 23:22:52,IP Address,84.110.59.165,100,63,True,2024-02-06 23:22:53,R_405HeRntjgb4rK9,,,,,32.0803,34.7805,anonymous,EN,35,6,,984,,,,,,655,965,,,,,,171,,,,,,,744,,,236,,,,,,,,,5
2024-02-06 23:23:34,2024-02-06 23:31:50,IP Address,84.110.59.165,100,496,True,2024-02-06 23:31:51,R_4zMZyYC9echXcEI,,,,,32.0803,34.7805,anonymous,EN,20,6,,,,,,,,,965,,,,660,,,,,,144,871,,,,,,,,,,,481,,,5
2024-02-06 23:36:24,2024-02-06 23:38:19,IP Address,84.110.59.166,100,115,True,2024-02-06 23:38:20,R_42xjEYWt5T0SG2K,,,,,32.0803,34.7805,anonymous,EN,22,4,,,563,,,854,,,965,,,,,232,,581,,,,,835,,,,,,,,,,,,952,8
